Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
4zNmDA8sfKw,Make 3D Models from Vectors in Adobe Illustrator,"Apr 23, 2025",367,12,7.4,,11,9,1,1,0,0,0,0,0,0,0,,0,0,7,0,0,0,,0,0,,0,0,,0,0,,,0,,3,0.0367,12,0.0905,0,0.088,0:00:27,117,0
D1BMsrYxsSI,10 SECOND TIMER : Countdown + Alarm,"Mar 11, 2025",22,12,128.1,,10,9,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,3,0,0,0,,,0,,0,0,12,0.0939,0,0,0:00:28,66,0
rT2Ca3XIdGs,BEST VIDEO EFFECTS on Hyperspektiv : Content Creator's GOLDMINE,"Jun 21, 2023",183,11,9.49,,10,8,2,2,0,0,0,0,0,0,0,,0,0,6.636,0,0,0,,0,0,,0,0,,0,0,,,0,,2,0.0147,11,0.0531,0,0.073,0:00:17,53,3.77
n3V7L8wMz_0,NAPOLEON Bonaparte LOST his VIRGINITY to a PROSTITUTE!? 5 CRAZY Facts about the Emperor,"Mar 31, 2025",230,11,30.48,,8,5,3,3,0,0,0,0,0,0,0,,0,0,0.889,0,0,0,,0,0,,0,4,0,0,0,,,0,1,0,0,11,0.2142,0,0.008,0:01:10,129,1.55
Zx6HecMJNpc,LIFE in NAPOLEON'S Imperial Guard 💂‍♂️ MEMOIRS of Captain Elzéar Blaze,"May 9, 2025",751,10,46.36,,8,2,5,5,0,0,0,0,0,1,0,100,0,0,5,0,0,9,0,0,2,0,0,2,0,0,0,,,0,1,2,0.4149,10,0.9672,0,0.04,0:05:48,159,3.77
k7piHS1ly1I,Napoleon’s Cavalry 🐎 Last Knights of Europe ⚔️ TRAILER,"Sep 18, 2025",226,10,51.31,,9,3,6,6,0,0,0,0,0,2,0,100,0,0,1.7,0,0,7,0,0,0,,0,10,0,0,0,,,0,,2,0.0563,10,0.3221,0,0.017,0:01:55,361,1.11
drFlfohtn-Q,BROOKLYN NYC FIRE - 1/25/25 Metropolitan & Graham - Williamsburg - FDNY Heroes Ladders 119 146 + 237,"Jan 26, 2025",168,8,34.41,,7,7,0,0,0,0,0,0,0,1,0,100,0,0,6.375,0,0,4,0,0,0,,0,0,,0,0,,,0,,0,0,8,0.1285,0,0.051,0:00:57,67,2.99
ef3czvzQdYE,80's CAR - 4K HD VISUAL + Background 3D ANIMATION ::: Lo-Fi / Tecno / Chill LONG Study PLAYLIST,"Sep 23, 2024",2148,8,15,,8,8,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,2,0,0,0,,0,0,,0,0,,,0,,0,0,8,0.7158,0,0.008,0:05:22,22,0
k63xOcyyto4,Anime Arcade : Psychedelic Background Visuals - Trippy 3D Animation Motion Art - 140 BPM : NO MUSIC,"Aug 31, 2024",2177,7,15.88,,7,7,0,0,0,0,0,0,0,0,0,,0,0,3.571,0,0,0,,0,0,,0,0,,0,0,,,0,,0,0,7,0.6724,0,0.025,0:05:45,22,4.55
pk4tiRjMAtQ,REMOVE LOGO - How to DOWNLOAD Tiktoks Reels + Shorts w/ No Watermark - HD QUALITY,"Nov 4, 2024",76,6,59.09,,6,6,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,2,0,0,0,,0,0,,0,0,,,0,,0,0,6,0.0748,0,0.01,0:00:44,64,0
